epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,16736,0.89168,0.94118,1.14131,0.01674,0.01236,0.01001,0.00335,2.83016,4.18335,2.76236,0.000151943,0.000151943,0.000151943
80,16944.9,0.90597,1.02321,1.13653,0.01448,0.01039,0.01035,0.00312,2.81445,4.25108,2.78321,0.000145339,0.000145339,0.000145339
81,17155.4,0.86992,0.97704,1.13888,0.03003,0.02564,0.01015,0.00251,2.85158,4.11607,2.84595,0.000138736,0.000138736,0.000138736
82,17364.5,0.92539,0.96649,1.1437,0.02799,0.02976,0.00868,0.00261,2.86712,4.11893,2.83636,0.000132133,0.000132133,0.000132133
83,17573.3,0.87752,0.84404,1.14275,0.03337,0.02152,0.00906,0.00226,2.90947,4.14367,2.91018,0.000125529,0.000125529,0.000125529
84,17798.5,0.85106,0.84744,1.09128,0.01527,0.01374,0.00682,0.00198,2.89411,4.186,2.90715,0.000118926,0.000118926,0.000118926
85,18037.1,0.83601,0.94559,1.09891,0.01016,0.01923,0.00613,0.00174,2.88682,4.22292,2.89742,0.000112323,0.000112323,0.000112323
86,18279.1,0.79626,0.88777,1.10421,0.00642,0.13608,0.0067,0.00192,2.83868,4.3335,2.816,0.00010572,0.00010572,0.00010572
87,18510.9,0.85939,1.03554,1.1534,0.01583,0.01374,0.00808,0.00198,2.85713,4.41712,2.80611,9.91162e-05,9.91162e-05,9.91162e-05
88,18727.1,0.85245,0.87044,1.07361,0.01578,0.038,0.00913,0.00243,2.86957,4.42199,2.83039,9.25129e-05,9.25129e-05,9.25129e-05
89,18939.1,0.79113,0.86571,1.11014,0.00728,0.187,0.00939,0.00237,2.88648,4.42426,2.85198,8.59096e-05,8.59096e-05,8.59096e-05
90,19148.6,0.84057,0.85527,1.0715,0.01754,0.09579,0.0093,0.00251,2.88957,4.43288,2.86209,7.93063e-05,7.93063e-05,7.93063e-05
91,19355.6,0.82041,0.88725,1.07121,0.02333,0.06236,0.00882,0.00276,2.90348,4.45641,2.85785,7.2703e-05,7.2703e-05,7.2703e-05
92,19564.5,0.82336,0.99639,1.1223,0.02536,0.06099,0.01184,0.00344,2.9264,4.36926,2.85754,6.60997e-05,6.60997e-05,6.60997e-05
93,19775,0.91503,1.09773,1.12282,0.02069,0.06099,0.01161,0.00349,2.93119,4.36357,2.8346,5.94964e-05,5.94964e-05,5.94964e-05
94,19986.6,0.79403,0.93222,1.11185,0.01565,0.01236,0.01168,0.00307,2.91279,4.29084,2.83237,5.28931e-05,5.28931e-05,5.28931e-05
95,20214.8,0.77002,0.96122,1.08838,0.01595,0.01374,0.01144,0.00306,2.91769,4.24427,2.82733,4.62898e-05,4.62898e-05,4.62898e-05
96,20446.4,0.66824,1.18913,0.97329,0.01821,0.01511,0.01168,0.0033,2.89729,4.19441,2.82974,3.96865e-05,3.96865e-05,3.96865e-05
97,20677.1,0.713,0.81651,1.04595,0.01601,0.01511,0.01264,0.00307,2.83993,4.06526,2.80095,3.30832e-05,3.30832e-05,3.30832e-05
98,20904.5,0.84824,0.93829,1.15675,0.0178,0.01786,0.0112,0.00319,2.8378,4.03988,2.81053,2.64799e-05,2.64799e-05,2.64799e-05
99,21148.2,0.67409,0.81129,1.06188,0.02251,0.08938,0.01217,0.00328,2.84346,3.97485,2.8095,1.98766e-05,1.98766e-05,1.98766e-05
100,21383.9,0.69395,0.77438,1.03421,0.02258,0.01964,0.01238,0.00349,2.8567,3.93143,2.80203,1.32733e-05,1.32733e-05,1.32733e-05
